"MMSI","ais_imo","ais_shipname","ais_callsign","vessel_flag_best","vessel_class_best","geartype_best","trip_start","start_port_iso3","start_port_label","trip_start_confidence","trip_duration_days","num_encounters","num_loitering","num_fishing","npg_2026_phase_1","npg_2026_phase_2","vv_url","skylight_IMO","skylight_Name","skylight_Skylight.Link","skylight_dark_rendezvous","skylight_eo_landsat_8_9","skylight_fishing_activity_history","skylight_standard_rendezvous","skylight_viirs","IHS_GrossTonnage","IHS_LengthOverallLOA.Meters.","IHS_YearOfBuild","IHS_ExName","IHS_PortofRegistry","CountryOfControlName","IHS_GroupBeneficialOwner","IHS_RegisteredOwner","IHS_RegisteredOwnerCountryOfRegistration","IHS_Operator","IHS_ShipManager","IHS_TechnicalManager","Non.Compliance.History..yes...sister.ship.","Type.of.Non.Compliance","Vessel.Non.Compliance.Description","SisterShip.s.Type.of.Non.Compliance","Sister.Ship.Non.Compliance.Description","SisterShipWithNonComplianceConcerns","Sources","phase1_2025","phase2_2025","inital_list_2026"
"431500637",NA,"HASHIMURATERUMARU",NA,"JPN","fishing","drifting_longlines",2026-05-08 05:53:16,"JPN","SHIOGAMA",4,23.75,0,6,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/4f07e13d5-5fa9-3125-ec50-1c8b785e12a6?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,19,0,1997,"","TOSA, KOCHI","JAPAN"," ","HASHIMURA CO LTD","JAPAN","HASHIMURA CO LTD","HASHIMURA CO LTD"," ","","","","","","","",TRUE,FALSE,FALSE
"431500940",NA,"KATURAMARU  NO.11",NA,"JPN","fishing","set_longlines",2026-05-27 08:03:41,"JPN","KESENNUMA",4,4.63,0,1,1,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5f04963a0-0433-54d2-81df-74b75c92f8c7?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"431501605",NA,"SYUUHOUMARU",NA,"JPN","fishing","drifting_longlines",2026-05-11 04:11:53,"JPN","KESENNUMA",4,20.79,0,6,1,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/82c942474-42d7-74b2-d607-a4236281f29d?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,19,0,1999,"","TOSA, KOCHI","JAPAN"," ","TOCHIKA SUISAN","JAPAN","TOCHIKA SUISAN","TOCHIKA SUISAN"," ","","","","","","","",TRUE,FALSE,FALSE
"431501683",NA,"KAIENMARU NO.57",NA,"JPN","fishing","drifting_longlines",2026-05-25 00:55:07,"JPN","SENDAI",4,6.96,0,3,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7e3d7221f-f044-94c2-f45a-034302b77860?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"431501689",NA,"EIYUUMARU NO.21",NA,"JPN","fishing","drifting_longlines",2026-05-23 13:46:14,"JPN","SHIOGAMA",4,8.42,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f20e96b51-1ca7-2e99-b312-46db5178491c?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,19,0,2001,"","MUROTO, KOCHI","JAPAN"," ","EIYUMARU SUISAN","JAPAN","EIYUMARU SUISAN","EIYUMARU SUISAN"," ","","","","","","","",TRUE,FALSE,TRUE
"431501724",NA,"KAIENMARU NO.1",NA,"JPN","fishing","drifting_longlines",2026-05-27 04:45:45,"JPN","SENDAI",4,4.79,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/d46be2e94-4c2f-6150-f47f-33b9e4e8a6ac?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,19,0,2002,"","SHIOGAMA, MIYAGI","JAPAN"," ","MURAKAMI SHOJI INC","JAPAN","MURAKAMI SHOJI INC","MURAKAMI SHOJI INC"," ","","","","","","","",TRUE,FALSE,FALSE
"431501762",NA,"RYOYUMARU NO.1",NA,"JPN","fishing","drifting_longlines",2026-05-18 00:34:13,"JPN","CHOSHI",4,13.96,0,11,18,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/383a2af44-42aa-8168-d774-e889e94af205?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,19,0,2003,"","TOSA, KOCHI","JAPAN"," ","NAKAMURA GYOGYO","","NAKAMURA GYOGYO","NAKAMURA GYOGYO"," ","","","","","","","",FALSE,TRUE,TRUE
"431501786",NA,NA,NA,"JPN","fishing","drifting_longlines",2026-04-15 19:57:16,"JPN","KOCHI",4,46.17,0,2,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/08e1cebac-c5a7-a8e5-69f2-98283cc263fa?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,19,0,2004,"","TOSA, KOCHI","JAPAN"," ","KAIYO BUSSAN","JAPAN","KAIYO BUSSAN","KAIYO BUSSAN"," ","","","","","","","",TRUE,FALSE,TRUE
"431501786",NA,"WAKASHIOMARU NO.31",NA,"JPN","fishing","drifting_longlines",2026-04-09 01:07:22,"JPN","CHOSHI",4,52.92,0,2,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8ab6e2e6b-ba7b-da34-a7fa-4fcea42cf26e?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,19,0,2004,"","TOSA, KOCHI","JAPAN"," ","KAIYO BUSSAN","JAPAN","KAIYO BUSSAN","KAIYO BUSSAN"," ","","","","","","","",TRUE,FALSE,TRUE
"431501789",NA,"AKEBONOMARU NO,53",NA,"JPN","fishing","drifting_longlines",2026-03-07 00:16:29,"JPN","CHOSHI",4,85.96,0,8,8,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cc2cb51fa-a25b-64c4-32ef-ea21af9fac16?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,19,0,2004,"","TOSA, KOCHI","JAPAN"," ","KAIYO BUSSAN","JAPAN","KAIYO BUSSAN","KAIYO BUSSAN"," ","","","","","","","",TRUE,FALSE,TRUE
"431501795",NA,"WAKASHIOMARU NO.33",NA,"JPN","fishing","drifting_longlines",2026-04-09 00:25:28,"JPN","CHOSHI",4,52.96,0,4,6,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fc57b3a4a-a45d-3ee5-8cb7-230ef55eeeb7?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,19,0,2004,"","TOSA, KOCHI","JAPAN"," ","KAIYO BUSSAN","JAPAN","KAIYO BUSSAN","KAIYO BUSSAN"," ","","","","","","","",TRUE,FALSE,TRUE
"431501805",NA,"YUJINMARU",NA,"JPN","fishing","drifting_longlines",2026-05-28 11:23:57,"JPN","KATSUURA",4,3.5,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/176cd5702-26a7-a33d-1aff-62adeef58fa5?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"431501822",NA,"NO.5KOWAMARU",NA,"JPN","fishing","drifting_longlines",2026-05-17 21:42:59,"JPN","SENDAI",4,14.08,0,7,1,FALSE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a31f92cab-bd3a-f9a9-9555-7523b90f420e?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,19,0,2005,"","MUROTO, KOCHI","JAPAN","HASEGAWA M","HASEGAWA M","JAPAN","HASEGAWA M","HASEGAWA M"," ","","","","","","","",TRUE,FALSE,FALSE
"431501831",NA,"MASU MARU",NA,"JPN","fishing","drifting_longlines",2026-05-17 23:26:58,"JPN","KATSUURA",4,14,0,0,0,FALSE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/00e350440-0157-0c86-8c16-c6cf375ccfbf?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"431517000",NA,"KANAE MARU","7KFR","JPN","fishing","drifting_longlines",2026-05-20 00:50:32,"JPN","KESENNUMA",4,11.96,0,7,17,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c394c9025-51ff-05f6-c3cc-7ae5d5deeea9?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,149,38.91,2019,"","KESENNUMA, MIYAGI","JAPAN"," ","KESENNUMA KANAE GYOGYO KK","JAPAN","KESENNUMA KANAE GYOGYO KK","KESENNUMA KANAE GYOGYO KK"," ","","","","","","","",TRUE,FALSE,FALSE
"431579000",NA,"MEIHO MARU NO37","7KAV","JPN","fishing","pole_and_line",2026-05-13 02:15:51,"JPN","ISHINOMAKI",4,18.88,0,10,23,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ade2fd018-8acc-7a73-5e08-47e28604ab4f?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,499,65.45,2017,"","SHIOGAMA, MIYAGI","JAPAN"," ","MEIHO GYOGYO KK","JAPAN","MEIHO GYOGYO KK","MEIHO GYOGYO KK"," ","","","","","","","",TRUE,FALSE,FALSE
"431586000",NA,"HAYAMA MARU","7KJP","JPN","fishing","inconclusive",2026-05-26 16:07:50,"JPN","KESENNUMA",4,5.29,0,2,4,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/38e9f0682-28b2-17c0-c535-44d565c4673e?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"431600220",NA,"KIFUKUMARU NO51","JM6090","JPN","fishing","drifting_longlines",2026-05-30 02:23:23,"JPN","KESENNUMA",4,1.88,0,1,1,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a0a38fd5b-b945-b5b0-1782-a547eaf9e6da?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,149,37.4,1994,"","NANGO, MIYAZAKI","JAPAN"," ","KIFUKU SUISAN","JAPAN","KIFUKU SUISAN","KIFUKU SUISAN"," ","","","","","","","",TRUE,FALSE,FALSE
"431600490",NA,"EIKOUMARU",NA,"JPN","fishing","drifting_longlines",2026-05-06 10:28:21,"JPN","CHOSHI",4,25.54,0,11,3,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c095dd062-2bc1-9fda-dbcf-2c75c7d78a58?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,19,0,1996,"","HYUGA, MIYAZAKI","JAPAN"," ","EIKO MARU INC","JAPAN","EIKO MARU INC","EIKO MARU INC"," ","","","","","","","",TRUE,FALSE,FALSE
"431600520",NA,"KIYOMARU NO.8","JM6434","JPN","fishing","pole_and_line",2026-05-30 23:13:31,"JPN","JPN-488",4,1,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/77737fe13-3506-9b33-c64d-d729dfece0ac?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,151,0,1997,"","NICHINAN, MIYAZAKI","JAPAN"," ","KIYO MARU SUISAN","","KIYO MARU SUISAN","KIYO MARU SUISAN"," ","","","","","","","",FALSE,TRUE,FALSE
"431600610",NA,NA,NA,"JPN","fishing","drifting_longlines",2026-05-09 05:26:44,"JPN","USUKI",4,22.75,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2e1d92553-3733-31ee-f3fd-a5536760ec7a?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,19,0,1983,"","TSUKUMI, OITA","JAPAN","TSUKASA K","TSUKASA K","JAPAN","TSUKASA K","TSUKASA K"," ","","","","","","","",TRUE,FALSE,FALSE
"431600740",NA,"NO.15 FUKUSHOUMARU",NA,"JPN","fishing","drifting_longlines",2026-05-30 22:10:50,"JPN","KATSUURA",3,1.04,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/53c50a236-6cf0-9292-870f-dfdcf25c7c13?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,19,0,1991,"RYOSEI MARU NO. 21","CHOSHI, CHIBA","JAPAN","SHOJI T","SHOJI T","JAPAN","SHOJI T","SHOJI T"," ","","","","","","","",TRUE,FALSE,FALSE
"431600930",NA,"SAGAMYOJINMARU NO.63","JM6653","JPN","fishing","pole_and_line",2026-05-30 22:58:56,"JPN","JPN-488",3,1.04,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a72929e94-4aa8-d2b6-338a-543c59f1074c?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"431600960",NA,"KAITOKUMARU NO.23","JM6086","JPN","fishing","pole_and_line",2026-05-27 21:51:57,"JPN","JPN-488",4,4.08,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/823f43c27-7487-955e-a7f9-e6a9e1519388?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,111,0,1991,"","NICHINAN, MIYAZAKI","JAPAN"," ","TONOURA GYOGYO KYODO KUMIAI","","TONOURA GYOGYO KYODO KUMIAI","TONOURA GYOGYO KYODO KUMIAI"," ","","","","","","","",FALSE,TRUE,FALSE
"431601572",NA,"SHINEI MARU",NA,"JPN","fishing","drifting_longlines",2026-05-20 05:41:49,"JPN","KATSUURA",4,11.75,0,3,1,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/504a17902-2a2c-dd50-cf97-137557e813cb?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"431601932",NA,NA,NA,"JPN","fishing","drifting_longlines",2026-04-28 06:30:15,"JPN","CHOSHI",4,33.71,0,2,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/874fb5e81-1e61-4e0c-32c2-d9a3f691e026?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE
"431601932",NA,"SEIYOUMARU",NA,"JPN","fishing","drifting_longlines",2026-04-11 00:46:39,"JPN","CHOSHI",4,50.96,0,7,3,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b5b9443e4-46ab-82b5-2503-6bed3b2b3bf5?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE
"431602086",NA,"MITSUMARU NO.11",NA,"JPN","fishing","drifting_longlines",2026-05-12 23:36:13,"JPN","KATSUURA",4,19,0,2,4,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f2d3dfadf-fc85-0ed3-26b9-64277014c8a3?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,19,0,2001,"","KIHOKU, MIE","JAPAN","WAKI K","WAKI K","JAPAN","WAKI K","WAKI K"," ","","","","","","","",TRUE,FALSE,FALSE
"431602322",NA,NA,NA,"JPN","fishing","drifting_longlines",2026-04-19 01:19:32,"JPN","CHOSHI",4,42.92,0,11,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5bcbd94f4-4794-1a4e-f54f-7e2d16844ab0?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE
"431602322",NA,"TOMIMARU NO.38",NA,"JPN","fishing","drifting_longlines",2026-04-02 03:44:29,"JPN","CHOSHI",4,59.83,0,5,1,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ef2dbb475-55db-face-8d95-67d241cf0e91?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE
"431602338",NA,"MINAMARU",NA,"JPN","fishing","drifting_longlines",2026-04-02 23:30:13,"JPN","CHOSHI",4,59,0,13,1,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e249378fe-e7d0-1a00-dcb6-c1916d101122?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE
"431602346",NA,"KORYOMARU NO.3",NA,"JPN","fishing","drifting_longlines",2026-05-20 02:07:15,"JPN","SENDAI",4,11.88,0,8,2,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f15823826-6723-dbad-2fee-0620bef09f4d?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"431603270",NA,"SHICHIHUKUJIN MARU",NA,"JPN","fishing","drifting_longlines",2026-03-31 20:25:58,"JPN","KATSUURA",4,61.13,0,3,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/eef42df5b-b5db-085c-d9a3-bcaa9fa9be9a?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE
"431629000","9896660","SHOFUKU MARU NO.1","7KFY","JPN","fishing","drifting_longlines",2026-05-22 09:48:17,"JPN","KESENNUMA",3,9.58,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a8d3d84d9-9455-6d24-57ae-4ccfce3c67e3?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"431657000",NA,"WAKASHIO MARU NO86",NA,"JPN","fishing","fishing",2026-05-10 03:16:00,"JPN","KESENNUMA",4,21.83,0,7,11,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8be4f4354-488d-b55b-8394-da25960808c1?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"431680000","9105164","SHOEI MARU NO38","JILY","JPN","fishing","pole_and_line",2026-05-30 04:31:33,"JPN","YAIZU",3,1.79,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6d7410401-1b96-69a4-a50c-efb761ca2c9b?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,498,56.12,1994,"TOKUEI MARU NO. 17","YAIZU, SHIZUOKA","JAPAN"," ","SHOEI MARU KK","JAPAN","SHOEI MARU KK","SHOEI MARU KK"," ","","","","","","","",TRUE,FALSE,FALSE
"431680103",NA,"AOIMARU NO.1",NA,"JPN","fishing","fishing",2026-05-28 16:54:13,"JPN","NAHA",3,3.29,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5b319fe47-75c6-f8f5-8366-8c78eef56c4a?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"431700140",NA,"SHINEIMARU NO.17","JE3114","JPN","fishing","drifting_longlines",2026-05-21 02:07:51,"JPN","KESENNUMA",4,10.88,0,4,8,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2388d45a5-59cd-44a0-46e7-7c3f54665d04?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,119,39.85,1993,"","KESENNUMA, MIYAGI","JAPAN"," ","SHINEI SUISAN","JAPAN","SHINEI SUISAN","SHINEI SUISAN"," ","","","","","","","",TRUE,FALSE,FALSE
"431700250",NA,"NO15 CHIDORIMARU","JNMN","JPN","fishing","squid_jigger",2026-05-14 19:21:24,"JPN","HACHINOHE",4,17.17,0,4,4,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b8472a149-956c-7ab0-3567-86b1de21b431?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,161,0,1986,"MATSU MARU NO. 38","HACHINOHE, AOMORI","JAPAN","CHIDORI","CHIDORI","JAPAN","CHIDORI","CHIDORI"," ","","","","","","","",FALSE,TRUE,FALSE
"431700310",NA,"KIYOMARU NO3",NA,"JPN","fishing","squid_jigger",2026-05-10 02:38:16,"JPN","HACHINOHE",4,21.88,0,10,4,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8ab9fde6c-c8a9-0d6c-9fba-00d344da46d3?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,183,0,1996,"CHOKO MARU NO. 58","TOKYO","JAPAN","OKANUMA K","OKANUMA K","JAPAN","OKANUMA K","OKANUMA K"," ","","","","","","","",FALSE,TRUE,FALSE
"431700574",NA,"GENEIMARU NO78",NA,"JPN","fishing","squid_jigger",2026-05-13 17:12:20,"JPN","HACHINOHE",4,18.25,0,5,6,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/35caced42-2a22-5b8e-e839-adda94b065d8?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,198,0,2003,"","HACHINOHE, AOMORI","JAPAN"," ","YAMATSU YACHI SHOTEN","","YAMATSU YACHI SHOTEN","YAMATSU YACHI SHOTEN"," ","","","","","","","",FALSE,TRUE,FALSE
"431700589",NA,"NO81GENEIMARU",NA,"JPN","fishing","squid_jigger",2026-05-20 02:51:24,"JPN","HACHINOHE",4,11.88,0,2,1,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3f4821746-607a-0651-bcc3-736b7b75b7ab?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,199,0,2004,"","HACHINOHE, AOMORI","JAPAN"," ","YAMATSU YACHI SHOTEN","","YAMATSU YACHI SHOTEN","YAMATSU YACHI SHOTEN"," ","","","","","","","",FALSE,TRUE,FALSE
"431700719",NA,"NO.83GENEIMARU",NA,"JPN","fishing","squid_jigger",2026-05-11 09:53:18,"JPN","HACHINOHE",4,20.58,0,14,10,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/0c263e565-55bf-e173-7e03-9409426f58c0?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,198,0,2006,"","HACHINOHE, AOMORI","JAPAN"," ","YAMATSU YACHI SHOTEN","","YAMATSU YACHI SHOTEN","YAMATSU YACHI SHOTEN"," ","","","","","","","",FALSE,TRUE,FALSE
"431700850",NA,"NO23 CHIDORIMARU","JE3038","JPN","fishing","squid_jigger",2026-05-14 02:04:09,"JPN","HACHINOHE",4,17.88,0,12,8,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ac212114f-f3b1-00ab-786b-e4ea8e3ab18f?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,168,39.94,1991,"","HACHINOHE, AOMORI","JAPAN","CHIDORI","CHIDORI","JAPAN","CHIDORI","CHIDORI"," ","","","","","","","",FALSE,TRUE,FALSE
"431704470",NA,"GENEIMARU NO.12",NA,"JPN","fishing","squid_jigger",2026-05-12 02:25:20,"JPN","HACHINOHE",4,19.88,0,6,7,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/408015040-075b-306b-8744-839c1ecc86b2?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,199,0,1999,"","HACHINOHE, AOMORI","JAPAN"," ","YAMATSU YACHI SHOTEN","","YAMATSU YACHI SHOTEN","YAMATSU YACHI SHOTEN"," ","","","","","","","",FALSE,TRUE,FALSE
"431704480",NA,"NO21YAEMARU",NA,"JPN","fishing","squid_jigger",2026-05-10 22:17:39,"JPN","HACHINOHE",4,21.04,0,13,9,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ebbf24a94-4b15-47c0-51ed-6b3ebdcd96f1?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,198,0,1999,"","HACHINOHE, AOMORI","JAPAN"," ","YAEMARU GYOGYO","","YAEMARU GYOGYO","YAEMARU GYOGYO"," ","","","","","","","",FALSE,TRUE,FALSE
"431704510",NA,"GENEIMARU NO68",NA,"JPN","fishing","squid_jigger",2026-05-10 22:43:43,"JPN","HACHINOHE",4,21.04,0,6,12,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/4fcf3cb27-7c18-93b3-a89c-350a5b06e5ff?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,198,0,2000,"","HACHINOHE, AOMORI","JAPAN"," ","YAMATSU YACHI SHOTEN","","YAMATSU YACHI SHOTEN","YAMATSU YACHI SHOTEN"," ","","","","","","","",FALSE,TRUE,FALSE
